Date,Market,Arrival(q),Price Minimum (Rs/q),Price Maximum (Rs/q),Modal Price (Rs/q)
06/Jan/2022,ABOHAR(PB),95,1890,2550,2175
24/Jan/2022,ABOHAR(PB),108,1800,2721,2150
25/Jan/2022,ABOHAR(PB),107,2100,2684,2450
28/Jan/2022,ABOHAR(PB),135,2150,2670,2440
29/Jan/2022,ABOHAR(PB),115,2150,2690,2450
31/Jan/2022,ABOHAR(PB),240,2050,2695,2440
02/Feb/2022,ABOHAR(PB),181,2150,2745,2557
07/Feb/2022,ABOHAR(PB),315,1950,2510,2450
14/Feb/2022,ABOHAR(PB),215,2400,3100,2695
16/Feb/2022,ABOHAR(PB),151,2500,3100,2800
18/Feb/2022,ABOHAR(PB),95,2400,3100,2800
23/Feb/2022,ABOHAR(PB),131,2145,2890,2339
28/Feb/2022,ABOHAR(PB),272,2243,2570,2485
16/Mar/2022,ABOHAR(PB),225,1165,1308,1233
17/Mar/2022,ABOHAR(PB),198,1211,2018,1373
22/Mar/2022,ABOHAR(PB),175,1200,1730,1500
29/Mar/2022,ABOHAR(PB),30,1300,2000,1500
30/Mar/2022,ABOHAR(PB),245,1000,1675,1500
01/Apr/2022,ABOHAR(PB),2152,1405,1800,1600
05/Apr/2022,ABOHAR(PB),301,1000,1500,1175
02/Jun/2022,ABOHAR(PB),181,800,1124,1015
08/Jun/2022,ABOHAR(PB),191,975,1315,1070
10/Jun/2022,ABOHAR(PB),285,800,1310,1221
25/Jun/2022,ABOHAR(PB),231,987,1510,1250
13/Jul/2022,ABOHAR(PB),225,1025,1560,1350
16/Jul/2022,ABOHAR(PB),245,1205,1650,1350
25/Jul/2022,ABOHAR(PB),320,1010,1650,1450
03/Jan/2022,AGRA(UP),2200,1900,2150,2020
04/Jan/2022,AGRA(UP),2100,1900,2100,2015
05/Jan/2022,AGRA(UP),2050,1950,2100,2020
06/Jan/2022,AGRA(UP),2100,1900,2100,2010
10/Jan/2022,AGRA(UP),1950,1900,2100,2015
11/Jan/2022,AGRA(UP),1900,1900,2150,2020
